9d158d98 u16,8b47a7b4 u16,dca149d u16,6f307274 u16,d3bc90c0 u16,4bccc3f3 u16,f03898ed u16,8e2edf98 u16,c3bb3363 u16,da5f0470 u16,2ba288cf u16,4fbf4bc u16,89f2f5b2 u16,ccd794d1 u16,54a7c7e2 u16,ef539cfc u16,UniqueID,c978d56e u8,NpcLabel,14e0f9c1 u8,e441b193 u32
309,309,65,201,192,170,185,187,192,86,361,436,462,191,170,185,309,1,pgn05,0,2
310,310,152,349,350,188,192,205,350,272,362,453,229,349,188,192,310,1,pgn06,0,3
311,311,420,0,83,191,474,325,83,445,268,433,225,83,191,474,311,1,pgn07,0,2
312,312,472,407,457,349,296,351,457,404,72,464,103,457,349,296,312,1,pgn09,0,3
313,313,424,286,55,418,140,227,55,61,164,422,139,55,418,140,313,1,pgn10,0,3
314,314,166,343,207,64,458,342,207,143,271,38,177,206,64,458,314,1,pgn11,0,3
315,315,133,284,432,446,134,174,432,377,365,193,82,432,446,134,315,1,pgn12,0,3
316,316,212,415,160,314,331,314,160,417,458,88,443,159,314,331,316,1,pgn13,0,3
317,317,76,417,412,391,235,68,412,361,331,382,85,412,391,235,317,1,pgn14,0,1
318,318,346,315,116,409,446,379,116,161,291,456,343,115,409,446,318,1,pig00,0,3
319,319,117,262,444,454,455,222,444,390,254,392,398,444,454,455,319,1,pig01,0,3
320,320,145,97,359,142,413,70,359,305,107,34,62,358,142,413,320,1,pig02,0,3
321,321,41,176,206,218,53,233,206,437,97,138,214,205,218,53,321,1,pig03,0,4
322,322,233,242,261,39,256,269,261,218,451,100,469,260,39,256,322,1,pig04,0,1
323,323,333,390,111,161,214,103,111,188,360,435,110,411,161,214,323,1,pig05,0,2
324,324,78,369,104,187,363,468,104,178,277,171,344,104,187,363,324,1,pig08,0,3
325,325,97,53,58,70,54,65,58,53,200,189,387,58,70,54,325,1,pig09,0,2
326,326,251,263,269,263,281,275,269,247,369,115,407,268,263,281,326,1,pig10,1,2
327,327,318,354,328,347,403,404,328,281,207,355,5,327,347,403,327,1,pig11,0,4
328,328,412,316,174,268,63,262,174,81,198,43,17,173,268,63,328,1,pig13,0,2
329,329,371,79,94,425,0,258,94,451,256,72,324,94,425,0,329,1,pig14,0,2
330,330,439,222,233,362,202,247,233,158,34,144,81,232,362,202,330,1,pig15,0,2
331,331,79,59,313,433,259,102,313,274,336,201,72,312,433,259,331,1,pig16,0,3
332,332,146,312,3,310,344,274,3,5,6,259,61,3,312,344,332,1,pig17,0,3
333,333,221,291,68,128,90,64,68,29,448,113,315,68,128,90,333,1,rbt00,0,2
334,334,253,93,138,234,124,136,138,135,370,229,409,137,234,124,334,1,rbt01,0,2
335,335,437,232,105,122,95,112,105,180,421,322,79,105,122,95,335,1,rbt02,0,2
336,336,61,337,407,379,203,369,407,356,415,57,101,406,379,203,336,1,rbt03,0,4
337,337,261,134,175,193,160,185,175,85,411,63,305,174,193,160,337,1,rbt04,0,6
338,338,305,133,173,354,155,184,173,80,347,420,273,172,354,155,338,1,rbt05,0,3
339,339,240,255,342,280,319,347,342,291,465,95,456,341,280,319,339,1,rbt06,0,2
340,340,104,289,435,441,444,426,435,384,279,169,10,435,441,444,340,1,rbt07,0,2
341,341,335,4,177,429,217,188,177,104,116,399,428,176,429,217,341,1,rbt08,0,2
342,342,457,375,388,407,410,400,388,333,453,98,52,387,407,410,342,1,rbt09,0,2
343,343,14,152,134,136,119,130,134,131,245,395,201,133,136,119,343,1,rbt10,0,3
344,344,9,77,98,331,92,108,98,176,312,203,215,98,331,92,344,1,rbt11,0,1
345,345,123,267,163,308,320,169,163,421,335,439,166,162,308,320,345,1,rbt12,0,2
346,346,198,15,96,240,232,309,96,186,103,384,123,96,240,232,346,1,rbt13,0,2
347,347,130,347,202,411,176,37,202,434,325,466,256,201,411,176,347,1,rbt14,0,6
348,348,339,310,306,160,89,177,306,268,138,222,265,305,160,89,348,1,rbt15,0,3
349,349,322,171,75,248,475,116,75,151,222,357,69,75,248,475,349,1,rbt16,0,5
350,350,275,167,52,114,435,264,52,52,399,159,128,52,114,435,350,1,rbt17,0,2
351,351,16,215,106,313,137,253,106,184,18,265,187,106,313,137,351,1,rbt18,0,2
352,352,271,294,286,19,178,281,286,238,401,158,414,285,19,178,352,1,rbt19,0,3
353,353,114,435,439,444,448,444,439,385,244,397,155,439,444,448,353,1,rbt20,0,9
354,354,272,138,395,30,6,408,395,89,398,163,415,394,30,6,354,1,rbt21,0,2
355,355,42,122,429,22,36,381,428,373,104,393,193,429,22,36,355,1,rhn00,0,1
356,356,265,356,367,399,383,385,367,329,426,97,401,366,399,383,356,1,rhn01,0,3
357,357,11,25,411,131,386,73,411,359,174,244,219,410,131,386,357,1,rhn02,0,3
358,358,148,377,204,388,99,382,204,436,397,211,83,203,388,99,358,1,rhn04,0,6
359,359,74,189,25,46,27,322,25,8,348,429,410,25,46,27,359,1,rhn05,0,1
360,360,86,271,282,309,347,229,282,233,286,246,283,281,309,347,360,1,rhn07,0,5
361,361,90,179,363,387,389,373,363,309,54,212,264,362,387,389,361,1,rhn08,0,2
362,362,274,88,451,462,187,251,451,72,407,139,412,451,462,187,362,1,shp00,0,1
363,363,167,28,26,54,34,43,26,23,252,402,362,26,54,34,363,1,shp01,0,2
364,364,256,98,152,241,38,435,152,475,413,24,54,151,241,38,364,1,shp02,0,3
365,365,459,411,415,283,45,291,415,364,7,272,440,415,283,45,365,1,shp03,0,2
366,366,49,241,78,86,69,85,78,154,435,370,375,78,86,69,366,1,shp04,0,2
367,367,258,304,467,141,265,47,467,398,387,119,303,467,141,265,367,1,shp07,9,0
368,368,182,250,115,101,451,62,115,162,77,365,384,114,101,451,368,1,shp08,0,2
369,369,427,468,464,186,220,5,464,71,396,54,330,464,186,220,369,1,shp09,0,3
370,370,31,434,436,211,419,15,436,381,225,326,183,436,211,419,370,1,shp10,0,2
371,371,377,281,170,330,91,250,170,426,37,316,376,169,330,91,371,1,shp11,0,5
372,372,307,275,295,301,77,306,295,228,337,442,349,294,301,77,372,1,shp12,0,2
373,373,312,342,339,237,356,204,339,302,160,445,75,338,237,356,373,1,shp13,0,6
374,374,81,111,150,167,141,153,150,472,49,290,297,149,167,141,374,1,shp14,0,9
375,375,88,89,135,179,56,327,136,132,215,347,282,134,179,56,375,1,shp15,0,2
376,376,408,330,324,55,373,363,324,289,414,451,20,323,55,373,376,1,squ00,0,3
377,377,414,226,46,45,60,191,46,48,169,255,32,46,45,60,377,1,squ01,2,0
378,378,337,117,157,181,149,413,157,411,445,107,377,156,181,149,378,1,squ02,0,2
379,379,208,311,325,90,351,315,325,283,460,85,390,324,90,351,379,1,squ03,0,1
380,380,438,229,302,147,250,388,302,255,75,30,228,301,147,250,380,1,squ04,0,3
381,381,12,214,2,171,328,4,2,4,472,1,181,2,171,328,381,1,squ05,0,2
382,382,181,362,76,265,196,84,76,152,87,368,386,76,265,196,382,1,squ06,0,1
383,383,203,154,392,363,109,399,392,341,437,80,161,391,363,109,383,1,squ07,0,2
384,384,344,378,414,366,128,361,414,363,177,247,287,414,366,128,384,1,squ08,0,2
385,385,405,273,285,281,9,290,285,237,403,164,24,284,281,9,385,1,squ09,0,5
386,386,179,371,369,14,396,410,369,314,63,7,395,368,14,396,386,1,squ10,0,6
387,387,406,173,71,13,74,392,71,193,280,412,16,71,13,74,387,1,squ11,0,2
388,388,286,303,430,435,318,437,429,374,258,46,260,430,435,318,388,1,squ13,1,0
389,389,262,269,421,420,314,419,421,349,418,256,157,421,420,314,389,1,squ14,0,4
390,390,336,443,346,158,194,212,346,298,99,58,325,345,158,194,390,1,squ15,0,3
391,391,199,409,399,276,409,180,399,455,102,383,122,398,276,409,391,1,squ16,0,2
392,392,407,177,277,302,286,412,277,226,163,345,33,276,302,286,392,1,squ17,0,5
393,393,45,302,199,21,343,104,199,433,5,269,112,198,21,343,393,1,squ18,0,3
394,394,361,451,209,40,438,340,209,145,178,248,441,208,40,438,394,1,squ21,0,6
395,395,471,57,380,7,376,389,380,328,223,465,99,379,7,376,395,1,tig00,0,2
396,396,140,139,387,286,280,151,387,332,123,14,48,386,286,280,396,1,tig01,0,7
397,397,147,21,448,438,204,450,448,379,294,406,140,448,438,204,397,1,tig02,0,1
398,398,230,420,28,176,37,439,28,67,452,101,430,28,176,37,398,1,tig03,0,7
399,399,6,431,249,242,120,49,249,205,316,180,206,248,242,120,399,1,tig04,0,2
400,400,247,248,99,247,461,257,99,173,389,253,289,99,247,461,400,1,tig05,0,5
401,401,410,42,39,61,329,213,39,66,124,178,25,39,61,329,401,1,tig06,0,2
402,402,347,386,92,475,82,29,92,450,206,64,236,92,475,82,402,1,wol00,0,3
403,403,297,260,254,261,249,270,254,210,342,55,426,253,261,249,403,1,wol01,0,3
404,404,235,464,470,470,471,467,470,78,469,93,454,470,470,471,404,1,wol02,0,3
405,405,72,259,465,259,51,54,465,400,303,204,307,465,259,51,405,1,wol03,0,3
406,406,36,397,133,195,254,418,133,130,115,375,200,132,195,254,406,1,wol04,0,2
407,407,75,128,168,260,258,175,168,424,229,221,84,167,260,258,407,1,wol05,0,4
408,408,350,144,154,124,355,473,154,406,148,251,64,153,124,355,408,1,wol06,0,7
409,409,125,455,455,467,467,463,455,73,35,166,251,455,467,467,409,1,wol08,5,0
410,410,62,379,405,9,277,272,405,353,449,112,102,404,9,277,410,1,wol09,0,3
411,411,216,467,244,38,159,452,244,148,441,106,132,243,38,159,411,1,wol10,0,3
412,412,281,217,20,296,310,271,20,260,412,145,321,20,296,310,412,1,wol12,0,2
512,413,386,287,210,96,276,181,210,144,145,297,116,209,96,276,413,0,sza,0,9
484,414,1,225,240,450,222,244,240,146,243,474,1,239,450,222,414,0,tkkA,0,9
508,415,213,436,441,445,450,445,441,387,196,49,271,441,445,450,415,0,rco,0,9
526,416,115,308,437,437,293,302,437,382,384,379,142,437,437,293,416,0,rcm,0,9
488,417,194,433,265,353,236,6,265,249,84,17,379,264,353,236,417,0,hgh,0,9
477,418,222,374,362,332,390,13,362,313,442,102,316,361,332,390,418,0,alw,0,9
476,419,185,49,120,4,422,293,120,340,61,108,291,119,4,422,419,0,alp,0,9
516,420,277,320,386,185,79,200,386,320,394,48,253,385,185,79,420,0,xct,0,9
498,421,134,113,49,423,441,59,49,47,326,196,338,49,423,441,421,0,owl,0,9
499,422,135,112,79,164,73,90,79,344,324,197,337,79,164,73,422,0,ows,0,9
511,423,425,389,234,60,49,411,234,168,156,419,444,233,60,49,423,0,skk,0,9
489,424,245,401,390,289,100,164,390,369,8,18,335,389,289,100,424,0,hgs,0,9
510,425,33,196,317,339,346,335,317,278,431,455,218,316,339,346,425,0,seo,0,9
485,426,163,357,361,239,408,465,361,336,226,296,170,360,239,408,426,0,fox,0,9
483,427,242,27,391,8,415,402,391,343,463,220,436,390,8,415,427,0,cml,0,9
519,428,264,393,262,5,421,423,262,215,427,148,400,261,5,421,428,0,tap,0,9
487,429,273,293,245,442,445,44,245,217,120,16,411,244,442,445,429,0,hgc,0,9
525,430,223,387,442,311,294,277,442,388,228,174,313,442,310,294,430,0,rct,0,9
517,431,331,136,246,192,374,167,246,204,455,56,357,245,192,374,431,0,slo,0,9
509,432,243,147,191,206,183,225,191,102,167,337,126,190,206,183,432,0,gul,0,9
521,433,69,314,473,133,4,326,473,141,317,398,450,473,133,4,433,0,pyn,0,9
478,434,451,30,93,270,70,87,93,449,38,79,224,93,270,70,434,0,bev,0,9
480,435,82,398,219,227,362,310,219,119,71,153,300,218,227,362,435,0,boa,0,9
481,436,421,404,228,235,22,457,228,153,284,129,238,227,235,22,436,0,bpt,0,9
482,437,228,61,300,336,117,226,300,254,73,142,437,299,336,117,437,0,chm,0,9
504,438,191,157,109,464,274,57,109,183,57,13,466,109,464,274,438,0,dga,0,9
506,439,191,469,54,315,80,162,54,60,57,13,466,54,315,80,439,0,dgb,0,9
479,440,77,164,335,155,188,141,335,413,297,411,345,334,155,188,440,0,fsl,0,9
486,441,142,141,184,200,66,217,184,97,106,29,382,183,200,66,441,0,grf,0,9
490,442,39,55,186,403,268,371,186,101,113,27,186,185,403,268,442,0,kpg,0,9
491,443,144,253,248,266,246,366,248,203,94,9,164,247,266,246,443,0,kpm,0,9
492,444,156,212,226,97,10,372,226,195,67,8,279,225,97,10,444,0,kpp,0,9
493,445,143,256,247,126,244,390,247,202,95,42,165,246,126,244,445,0,kps,0,9
520,446,266,218,227,103,71,294,227,159,375,161,227,226,103,71,446,0,lom,0,9
518,447,382,50,47,62,50,58,47,45,19,273,355,47,62,50,447,0,mka,0,9
494,448,92,120,347,163,237,106,347,299,44,298,145,346,163,237,448,0,mnk,0,9
495,449,195,90,136,184,121,134,135,133,430,304,366,135,184,121,449,0,mob,0,9
496,450,113,360,365,384,384,376,365,311,443,71,394,364,384,384,450,0,mol,0,9
528,451,323,216,257,318,252,86,257,213,190,236,68,256,318,252,451,0,otg,0,9
497,452,4,125,263,422,248,179,263,198,368,277,185,262,422,248,452,0,ott,0,9
500,453,17,331,322,127,393,337,322,269,354,181,220,321,127,393,453,0,pck,0,9
503,454,205,231,61,180,395,42,61,59,381,126,109,61,180,395,454,0,pge,0,9
529,455,288,186,211,427,200,163,211,113,302,424,226,210,427,200,455,0,pkn,0,9
501,456,357,333,330,424,339,338,330,285,351,430,129,329,424,339,456,0,plk,0,9
502,457,356,332,337,165,129,353,337,412,352,431,130,336,165,129,457,0,plm,0,9
505,458,94,336,332,102,17,440,332,293,350,432,359,331,102,17,458,0,plo,0,9
507,459,108,444,196,264,165,55,196,432,66,367,3,195,264,165,459,0,poo,0,9
522,460,226,73,217,382,397,235,217,117,172,99,389,216,382,397,460,0,rei,0,9
523,461,385,300,129,95,290,168,129,127,118,376,117,128,95,290,461,0,szo,0,9
535,462,0,87,132,148,116,129,132,0,470,473,0,131,148,116,462,0,tkkB,0,9
513,463,351,441,443,449,453,448,443,389,121,15,399,443,449,453,463,0,ttlA,0,9
514,464,137,137,165,204,115,89,165,420,334,441,347,164,204,115,464,0,tuk,0,9
515,465,417,381,403,150,88,428,403,459,144,243,275,402,150,88,465,0,upa,0,9
524,466,155,466,463,144,313,456,463,405,182,19,268,463,144,313,466,0,wrl,0,9
538,467,290,56,303,288,173,196,303,256,263,176,66,302,288,173,467,0,mnc,0,9
537,468,285,396,460,275,270,186,460,79,261,50,276,460,275,270,468,0,man,0,9
527,469,444,60,469,81,151,424,469,399,423,40,233,469,81,151,469,0,gstA,0,9
530,470,59,158,198,173,209,166,198,431,289,409,46,197,173,209,470,0,spn,0,9
531,471,450,251,97,118,358,88,97,347,152,330,223,97,118,358,471,0,bey,0,9
532,472,84,200,122,229,361,72,122,106,41,152,302,121,229,361,472,0,boc,0,9
533,473,280,52,311,372,312,132,311,267,409,146,319,310,372,312,473,0,dod,0,9
534,474,227,64,158,232,118,231,158,415,459,86,438,157,232,118,474,0,chy,0,9
536,475,231,447,466,396,398,131,466,397,467,92,327,466,396,398,475,0,doc,0,9
